request_id,sample_id,domain,phase,delta,candidate_count,baseline,n_forecasts,selection_coverage,candidate_precision,routed_mass_coverage,complete_route_coverage,candidate_amplification,candidate_set_fraction
0,wikitext2-00044,general,decode,1,4,learned,368,0.8783967391304348,0.8783967391304348,0.9047307553498641,0.5978260869565217,1.0,0.125
0,wikitext2-00044,general,decode,2,4,learned,352,0.8586647727272727,0.8586647727272727,0.8870419588955966,0.5539772727272727,1.0,0.125
0,wikitext2-00044,general,decode,3,4,learned,336,0.8571428571428571,0.8571428571428571,0.8844807942708334,0.5476190476190477,1.0,0.125
1,wikitext2-00032,general,decode,1,4,learned,368,0.8654891304347826,0.8654891304347826,0.8949107294497283,0.5543478260869565,1.0,0.125
1,wikitext2-00032,general,decode,2,4,learned,352,0.8544034090909091,0.8544034090909091,0.8838362260298296,0.5340909090909091,1.0,0.125
1,wikitext2-00032,general,decode,3,4,learned,336,0.8526785714285714,0.8526785714285714,0.8795253208705357,0.5297619047619048,1.0,0.125
2,gsm8k-00041,math,decode,1,4,learned,368,0.7438858695652174,0.7438858695652174,0.784163765285326,0.3342391304347826,1.0,0.125
2,gsm8k-00041,math,decode,2,4,learned,352,0.7421875,0.7421875,0.7769428599964489,0.36079545454545453,1.0,0.125
2,gsm8k-00041,math,decode,3,4,learned,336,0.7165178571428571,0.7165178571428571,0.7531258719308036,0.31547619047619047,1.0,0.125
3,mt_bench-35264271,conversation,decode,1,4,learned,368,0.6936141304347826,0.6936141304347826,0.7333453634510869,0.25,1.0,0.125
3,mt_bench-35264271,conversation,decode,2,4,learned,352,0.6931818181818182,0.6931818181818182,0.7317712957208807,0.24431818181818182,1.0,0.125
3,mt_bench-35264271,conversation,decode,3,4,learned,336,0.6770833333333334,0.6770833333333334,0.7074032738095238,0.25297619047619047,1.0,0.125
4,wikitext2-00037,general,decode,1,4,learned,368,0.8648097826086957,0.8648097826086957,0.8927479619565217,0.5625,1.0,0.125
4,wikitext2-00037,general,decode,2,4,learned,352,0.8515625,0.8515625,0.8829747980291193,0.5142045454545454,1.0,0.125
4,wikitext2-00037,general,decode,3,4,learned,336,0.8586309523809523,0.8586309523809523,0.8849429175967262,0.5386904761904762,1.0,0.125
5,humaneval-HumanEval_38,code,decode,1,4,learned,368,0.7391304347826086,0.7391304347826086,0.7788828974184783,0.30434782608695654,1.0,0.125
5,humaneval-HumanEval_38,code,decode,2,4,learned,352,0.7336647727272727,0.7336647727272727,0.7715648304332386,0.3096590909090909,1.0,0.125
5,humaneval-HumanEval_38,code,decode,3,4,learned,336,0.7120535714285714,0.7120535714285714,0.7460080101376488,0.28869047619047616,1.0,0.125
6,gsm8k-00040,math,decode,1,4,learned,368,0.7438858695652174,0.7438858695652174,0.7823977263077445,0.33152173913043476,1.0,0.125
6,gsm8k-00040,math,decode,2,4,learned,352,0.7414772727272727,0.7414772727272727,0.7819865833629261,0.3465909090909091,1.0,0.125
6,gsm8k-00040,math,decode,3,4,learned,336,0.7165178571428571,0.7165178571428571,0.7536984398251488,0.32142857142857145,1.0,0.125
7,wikitext2-00043,general,decode,1,4,learned,368,0.8600543478260869,0.8600543478260869,0.8895608653192935,0.5489130434782609,1.0,0.125
7,wikitext2-00043,general,decode,2,4,learned,352,0.8465909090909091,0.8465909090909091,0.8777715509588068,0.5142045454545454,1.0,0.125
7,wikitext2-00043,general,decode,3,4,learned,336,0.8385416666666666,0.8385416666666666,0.8652968633742559,0.5029761904761905,1.0,0.125
8,mt_bench-30350920,conversation,decode,1,4,learned,368,0.7160326086956522,0.7160326086956522,0.7570137355638586,0.296195652173913,1.0,0.125
8,mt_bench-30350920,conversation,decode,2,4,learned,352,0.7166193181818182,0.7166193181818182,0.7598197243430398,0.2897727272727273,1.0,0.125
8,mt_bench-30350920,conversation,decode,3,4,learned,336,0.6971726190476191,0.6971726190476191,0.7363237653459821,0.24702380952380953,1.0,0.125
9,gsm8k-00047,math,decode,1,4,learned,368,0.7717391304347826,0.7717391304347826,0.8197817595108695,0.33967391304347827,1.0,0.125
9,gsm8k-00047,math,decode,2,4,learned,352,0.7535511363636364,0.7535511363636364,0.8007410222833807,0.32386363636363635,1.0,0.125
9,gsm8k-00047,math,decode,3,4,learned,336,0.7425595238095238,0.7425595238095238,0.7851170131138393,0.35119047619047616,1.0,0.125
10,mt_bench-50530142,conversation,decode,1,4,learned,368,0.6684782608695652,0.6684782608695652,0.7118755838145381,0.18478260869565216,1.0,0.125
10,mt_bench-50530142,conversation,decode,2,4,learned,352,0.6463068181818182,0.6463068181818182,0.6972794966264204,0.20454545454545456,1.0,0.125
10,mt_bench-50530142,conversation,decode,3,4,learned,336,0.6242559523809523,0.6242559523809523,0.6645914713541666,0.16666666666666666,1.0,0.125
11,humaneval-HumanEval_56,code,decode,1,4,learned,368,0.7683423913043478,0.7683423913043478,0.8051280146059783,0.34782608695652173,1.0,0.125
11,humaneval-HumanEval_56,code,decode,2,4,learned,352,0.7634943181818182,0.7634943181818182,0.7991527210582386,0.35795454545454547,1.0,0.125
11,humaneval-HumanEval_56,code,decode,3,4,learned,336,0.7276785714285714,0.7276785714285714,0.7563883463541666,0.3244047619047619,1.0,0.125
12,mt_bench-32663300,conversation,decode,1,4,learned,368,0.7160326086956522,0.7160326086956522,0.7522052267323369,0.26358695652173914,1.0,0.125
12,mt_bench-32663300,conversation,decode,2,4,learned,352,0.6931818181818182,0.6931818181818182,0.7272588556463068,0.23863636363636365,1.0,0.125
12,mt_bench-32663300,conversation,decode,3,4,learned,336,0.6674107142857143,0.6674107142857143,0.7003566196986607,0.24404761904761904,1.0,0.125
13,gsm8k-00042,math,decode,1,4,learned,368,0.7364130434782609,0.7364130434782609,0.7779368524966033,0.296195652173913,1.0,0.125
13,gsm8k-00042,math,decode,2,4,learned,352,0.7436079545454546,0.7436079545454546,0.7830144708806818,0.3409090909090909,1.0,0.125
13,gsm8k-00042,math,decode,3,4,learned,336,0.7172619047619048,0.7172619047619048,0.7534862699962798,0.33035714285714285,1.0,0.125
14,wikitext2-00040,general,decode,1,4,learned,368,0.845108695652174,0.845108695652174,0.8799717115319293,0.5081521739130435,1.0,0.125
14,wikitext2-00040,general,decode,2,4,learned,352,0.8323863636363636,0.8323863636363636,0.8701671253551136,0.4659090909090909,1.0,0.125
14,wikitext2-00040,general,decode,3,4,learned,336,0.8244047619047619,0.8244047619047619,0.8535490490141369,0.46726190476190477,1.0,0.125
15,gsm8k-00036,math,decode,1,4,learned,368,0.7438858695652174,0.7438858695652174,0.7850381602411685,0.3125,1.0,0.125
15,gsm8k-00036,math,decode,2,4,learned,352,0.7528409090909091,0.7528409090909091,0.7925220836292614,0.35511363636363635,1.0,0.125
