domain,request_id,sample_id,split
code,0,humaneval-HumanEval_149,test
code,13,humaneval-HumanEval_90,test
code,28,humaneval-HumanEval_85,test
code,43,humaneval-HumanEval_156,test
code,85,humaneval-HumanEval_27,test
code,95,humaneval-HumanEval_110,test
code,107,humaneval-HumanEval_69,test
code,125,humaneval-HumanEval_11,test
conversation,21,mt_bench-75477827,test
conversation,39,mt_bench-68280443,test
conversation,47,mt_bench-36620167,test
conversation,58,mt_bench-89774116,test
conversation,70,mt_bench-11060974,test
conversation,86,mt_bench-97487108,test
conversation,104,mt_bench-34377376,test
conversation,106,mt_bench-62739310,test
general,1,wikitext2-00002,test
general,2,wikitext2-00016,test
general,8,wikitext2-00008,test
general,40,wikitext2-00005,test
general,60,wikitext2-00009,test
general,74,wikitext2-00017,test
general,75,wikitext2-00006,test
general,83,wikitext2-00024,test
math,71,gsm8k-00006,test
math,76,gsm8k-00005,test
math,82,gsm8k-00027,test
math,102,gsm8k-00004,test
math,105,gsm8k-00028,test
math,111,gsm8k-00020,test
math,112,gsm8k-00010,test
math,123,gsm8k-00021,test
code,20,humaneval-HumanEval_87,train
code,30,humaneval-HumanEval_139,train
code,31,humaneval-HumanEval_64,train
code,33,humaneval-HumanEval_100,train
code,34,humaneval-HumanEval_121,train
code,42,humaneval-HumanEval_50,train
code,48,humaneval-HumanEval_158,train
code,57,humaneval-HumanEval_82,train
code,63,humaneval-HumanEval_106,train
code,67,humaneval-HumanEval_13,train
code,69,humaneval-HumanEval_49,train
code,72,humaneval-HumanEval_53,train
code,73,humaneval-HumanEval_72,train
code,77,humaneval-HumanEval_114,train
code,79,humaneval-HumanEval_31,train
code,80,humaneval-HumanEval_152,train
code,88,humaneval-HumanEval_143,train
code,90,humaneval-HumanEval_131,train
code,91,humaneval-HumanEval_88,train
code,100,humaneval-HumanEval_105,train
code,110,humaneval-HumanEval_19,train
code,114,humaneval-HumanEval_120,train
code,116,humaneval-HumanEval_26,train
code,126,humaneval-HumanEval_98,train
conversation,3,mt_bench-97281954,train
conversation,12,mt_bench-97392077,train
conversation,14,mt_bench-47292991,train
conversation,15,mt_bench-3075696,train
conversation,18,mt_bench-57239570,train
conversation,23,mt_bench-92837357,train
conversation,26,mt_bench-6404588,train
conversation,27,mt_bench-67710207,train
conversation,35,mt_bench-38622539,train
conversation,37,mt_bench-36918905,train
conversation,44,mt_bench-56561594,train
conversation,45,mt_bench-16377588,train
conversation,46,mt_bench-39413040,train
conversation,50,mt_bench-28957987,train
conversation,53,mt_bench-26014682,train
conversation,54,mt_bench-29742357,train
conversation,65,mt_bench-41972921,train
conversation,66,mt_bench-14343420,train
conversation,68,mt_bench-37403084,train
conversation,93,mt_bench-29558191,train
conversation,94,mt_bench-22339468,train
conversation,97,mt_bench-72595869,train
conversation,108,mt_bench-24063625,train
conversation,122,mt_bench-24433994,train
general,5,wikitext2-00011,train
general,7,wikitext2-00027,train
general,19,wikitext2-00025,train
general,24,wikitext2-00014,train
general,25,wikitext2-00000,train
general,29,wikitext2-00018,train
general,36,wikitext2-00015,train
general,38,wikitext2-00012,train
general,41,wikitext2-00026,train
general,51,wikitext2-00029,train
general,62,wikitext2-00028,train
general,81,wikitext2-00004,train
general,84,wikitext2-00022,train
general,92,wikitext2-00023,train
general,101,wikitext2-00001,train
general,103,wikitext2-00013,train
general,109,wikitext2-00003,train
general,113,wikitext2-00030,train
general,115,wikitext2-00010,train
general,119,wikitext2-00031,train
general,120,wikitext2-00020,train
general,121,wikitext2-00019,train
general,124,wikitext2-00021,train
general,127,wikitext2-00007,train
math,4,gsm8k-00024,train
math,6,gsm8k-00018,train
math,9,gsm8k-00022,train
math,10,gsm8k-00014,train
math,11,gsm8k-00013,train
math,16,gsm8k-00000,train
math,17,gsm8k-00017,train
math,22,gsm8k-00002,train
math,32,gsm8k-00016,train
math,49,gsm8k-00003,train
math,52,gsm8k-00029,train
math,55,gsm8k-00007,train
math,56,gsm8k-00008,train
math,59,gsm8k-00030,train
math,61,gsm8k-00026,train
math,64,gsm8k-00009,train
math,78,gsm8k-00025,train
math,87,gsm8k-00011,train
math,89,gsm8k-00019,train
math,96,gsm8k-00012,train
math,98,gsm8k-00031,train
math,99,gsm8k-00023,train
math,117,gsm8k-00001,train
math,118,gsm8k-00015,train
